编号,标题,作者列表,单位,摘要,原文PDF
28,From Specifications to Implementation in the Gen-AI Era: Lessons from a Project-based Software Engineering Course,"Yingying Wang, Masih Beigi Rizi, Fatemeh Khashei, Julia Rubin","Yingying Wang (University of British Columbia); Masih Beigi Rizi (University of British Columbia, Canada); Fatemeh Khashei (University of British Columbia); Julia Rubin (The University of British Columbia, Canada)","This paper investigates experiences, educational needs, and approaches for integrating Generative AI tools in an upper-level project-based undergraduate course on Software Engineering. We report on our course setup, our analysis of students’ experience in the last offering of the course, and an independent case study that we conducted to identify strengths, weaknesses, and strategies for using IDE-embedded AI tools, specifically GitHub Copilot and Cursor, when implementing a project equivalent in size and complexity to those typically carried out by the students in the course. Our results show that students utilize AI tools in all stages of project development: from requirements, through design, to implementation, testing, and code review, to generate and refine artifacts and to learn unfamiliar concepts. Students have mixed levels of satisfaction with using the tools, both as chat interfaces and as IDE-embedded solutions. We found no correlation between the degree of students’ reliance on AI and their grades. While Generative AI tools simplify repetitive development tasks and help quickly ramp up when working with unfamiliar frameworks and programming languages, these tools are still far from replacing software engineers or rendering software engineering education unnecessary. In fact, in the new AI-empowered reality, skills such as requirements engineering, design, code review, and systematic testing become more relevant than ever. We conclude the paper with a set of suggestions for future offerings of this and similar Software Engineering courses and for using AI in Software Engineering more broadly. We see a promising future for AI-empowered Software Engineering, where humans lead creative work and AI manages repetitive implementation tasks and programming language nuances.",pdfs/28_Yingying Wang_From Specifications to Implementation in the Gen-AI Era Lessons from a Project-b.pdf
29,From Suspicious Signals to Crashes: Guiding Bug-driven GUI Testing via Code-inspired Tracing,"Mengzhuo Chen, Zhe Liu, Chunyang Chen, Junjie Wang, Boyu Wu, Yuekai Huang, Jun Hu, Qing Wang","Mengzhuo Chen (Institute of Software, Chinese Academy of Sciences); Zhe Liu (Institute of Software, Chinese Academy of Sciences, China); Chunyang Chen (TU Munich, Germany); Junjie Wang (Institute of Software at Chinese Academy of Sciences, China); Boyu Wu (Institute of Software at Chinese Academy of Sciences, China); Yuekai Huang (Institute of Software, Chinese Academy of Sciences); Jun Hu (Institute of Software, Chinese Academy of Sciences); Qing Wang (Institute of Software at Chinese Academy of Sciences, China)","Mobile applications frequently suffer from crash bugs that are triggered under specific GUI interaction sequences. Existing automated GUI testing techniques mainly emphasize increasing coverage through diverse exploration strategies, but they often fail to reach the precise interaction contexts that lead to crashes, resulting in low bug detection efficiency. This paper proposes TraceDroid, a novel automated GUI testing approach that leverages suspicious code-level signals to guide dynamic exploration. Instead of treating static analysis as an independent detection method, TraceDroid uses heuristic rules distilled from real crash reports to detect suspicious code segments, associate them with GUI widgets, and collect code-level interaction signals. It then constructs the Activity Transition Graph (ATG), performs rough path generation, and employs LLM-based executable path completion to produce a set of suspicious paths. Finally, TraceDroid executes these paths through global path planning, local path generation, and execution-aware monitoring to efficiently expose crashes. We evaluate TraceDroid on 70 real crash bugs across 42 open-source apps, comparing it with 15 state-of-the-art baselines. TraceDroid achieves the best performance, with a recall of 77%, exceeding the best baseline by 28%, while maintaining comparable or higher coverage. Furthermore, TraceDroid successfully detects 21 previously unknown crash bugs in 116 popular Google Play apps, of which 15 have been fixed and 6 confirmed by developers, demonstrating its effectiveness in real-world scenarios.",pdfs/29_Mengzhuo Chen_From Suspicious Signals to Crashes Guiding Bug-driven GUI Testing via Code-inspi.pdf
30,GadgetHunter: Region-Based Neuro-Symbolic Detection of Java Deserialization Vulnerabilities,"Kaixuan Li, Jian Zhang, Chong Wang, Sen Chen, Zong Cao, Min Zhang, Yang Liu","Kaixuan Li (Nanyang Technological University, Singapore); Jian Zhang (Beihang University, China); Chong Wang (Nanyang Technological University); Sen Chen (Nankai University, China); Zong Cao (Imperial Global Singapore, Singapore); Min Zhang (East China Normal University, China); Yang Liu (Nanyang Technological University, Singapore)","Java deserialization vulnerabilities (JDVs) enable attackers to execute arbitrary code by crafting malicious serialized objects that trigger sequences of method calls (gadget chains) leading to dangerous operations. Existing detection approaches face a fundamental trade-off: static analysis achieves scalability but suffers from high false positives due to infeasible paths and imprecision with dynamic features like reflection; dynamic validation reduces false positives but incurs prohibitive costs and fails to explore deep exploitation chains. We present GadgetHunter, a neuro-symbolic JDV detector that combines scalable static analysis with targeted LLM reasoning and JDV exploitation-oriented constraint solving. Our approach partitions gadget chains into regions based on analyzability: statically resolvable segments are processed via interprocedural taint analysis, while dynamic boundaries are delegated to LLMs for semantic validation. We then extract critical constraints from each gadget and compose them into SMT formulas to determine chain feasibility through satisfiability solving. Evaluation on the ysoserial benchmark demonstrates that GadgetHunter reduces false negatives by up to 32% and false positives by 12-85% compared to state-of-the-art tools, while discovering 197 previously unknown gadget chains and rediscovering 4 recent CVEs. Our results show that combining symbolic reasoning with semantic understanding achieves both precision and practical impact in vulnerability detection.",pdfs/30_Kaixuan Li_GadgetHunter Region-Based Neuro-Symbolic Detection of Java Deserialization Vulne.pdf
31,GAER: Graph Auto-Encoders for Unsupervised Software Architecture Recovery,"Rakhshanda Jabeen, Morgan Ericsson, Jonas Nordqvist, Anna Wingkvist","Rakhshanda Jabeen (Electrolux Professional); Morgan Ericsson (Linnaeus University, Sweden); Jonas Nordqvist (Linnaeus University); Anna Wingkvist (Linnaeus University, Sweden)","Recovering the modular architecture of software systems from source code is a longstanding challenge, especially when documentation is incomplete or outdated. Manual recovery is labor-intensive, error-prone, and does not scale to large systems. While automated approaches have been proposed, many rely on handcrafted heuristics or focus narrowly on either structural or semantic information, which limits their ability to capture the full range of architectural signals. We introduce GAER, an unsupervised architecture recovery approach based on graph auto-encoders (GAEs) that frames architecture recovery as a representation learning problem. Software systems are modeled as heterogeneous graphs with typed dependencies, while folder hierarchies and code semantics are incorporated as node features. We evaluate two encoder variants, GAT and GCN, and find that GAT generally yields more accurate and stable decompositions. Experiments on ten open-source systems with ground-truth architectures show that GAER improves recovery accuracy by about 30% on average across evaluation metrics compared to a state-of-the-art method. By automatically deriving architectural views that integrate multiple signals, GAER reduces the manual effort required to maintain architectural documentation and supports more effective system understanding.",pdfs/31_Rakhshanda Jabeen_GAER Graph Auto-Encoders for Unsupervised Software Architecture Recovery.pdf
32,Generalizing Test Cases for Comprehensive Test Scenario Coverage,"Binhang Qi, Yun Lin, Xinyi Weng, Chenyan Liu, Hailong Sun, Gordon Fraser, Jin Song Dong","Binhang Qi (National University of Singapore, Singapore); Yun Lin (Shanghai Jiao Tong University, China); Xinyi Weng (Shanghai Jiao Tong University); Chenyan Liu (Shanghai Jiao Tong University; National University of Singapore, China); Hailong Sun (Beihang University, China); Gordon Fraser (University of Passau); Jin Song Dong (National University of Singapore, Singapore)","Test cases are essential for software development and maintenance. In practice, developers derive multiple test cases from an implicit pattern based on their understanding of requirements and inference of diverse test scenarios, each validating a specific behavior of the focal method. However, producing comprehensive tests is time-consuming and error-prone: many important tests that should have accompanied the initial test are added only after a significant delay, sometimes only after bugs are triggered. Existing automated test generation techniques largely focus on code coverage. Yet in real projects, practical tests are seldom driven by code coverage alone, since test scenarios do not necessarily align with control-flow branches. Instead, test scenarios originate from requirements, which are often implicitly embedded in a project’s design and implementation. Given a focal method, its underlying requirement can often be inferred from relevant project knowledge and the initial test that reflects the developer’s intent. In this work, we propose TestGeneralizer, a framework for generalizing test cases to comprehensively cover test scenarios. TestGeneralizer orchestrates three stages: (1) enhancing the understanding of the requirement and scenario behind the focal method and initial test; (2) generating a test scenario template and crystallizing it into various test scenario instances; and (3) generating and refining executable test cases from these instances. To ensure accuracy and completeness, TestGeneralizer combines rule-based prompts, automatically optimized via a prompt auto-tuning technique, with crucial project knowledge retrieved through program analysis. We evaluate TestGeneralizer against three state-of-the-art baselines (EvoSuite, gpt-o4-mini, and ChatTester) on 12 open-source Java projects, covering 506 multi-test focal methods and 1,637 test scenarios. TestGeneralizer achieves significant improvements: +64.00% and +56.87% over EvoSuite, +34.63% and +29.37% over gpt-o4-mini, and +28.70% and +20.05% over ChatTester, in mutation-based and LLM-assessed scenario coverage, respectively. In a field study, we submitted 27 generalized tests overlooked by developers; 16 were accepted and merged into official repositories, demonstrating the practical usefulness of TestGeneralizer.",pdfs/32_Binhang Qi_Generalizing Test Cases for Comprehensive Test Scenario Coverage.pdf（arXiv 预印本）
33,GPU-Accelerated Flow-Sensitive Pointer Analysis for C/C++ Programs,"Jiaqi He, Karim Ali","Jiaqi He (University of Alberta, Canada); Karim Ali (NYU Abu Dhabi, United Arab Emirates)","Flow-sensitive pointer analysis offers highly precise results that are essential for various security analyses, bug detection tools, and compiler optimizations. However, its high computational cost often leads to prohibitively long analysis times, especially for large, real-world programs. Despite decades of research, state-of-the-art algorithms still struggle to achieve acceptable performance at industrial scale, forcing developers to choose less precise alternatives. To overcome these limitations, we present GPA a GPU-accelerated flow-sensitive pointer analysis for C/C++ programs. To maximize hardware utilization, GPA dynamically balances computation by combining the massive parallelism of GPUs with a graph neural network that predicts per-variable workloads. Compared to state-of-the-art CPU-based analyses, GPA improves runtime performance by a factor of $1.3\times$ to $14\times$ on large programs (i.e., ≥275~KLOC) without sacrificing precision. However, on most small programs (i.e., <100~KLOC) and some medium ones (i.e., 100–275~KLOC), traditional algorithms run faster due to the overhead of memory management on GPUs that GPA incurs. By making the computation of highly precise pointer information more tractable, GPA enables running analyses and developer tools that were previously infeasible on large codebases.",pdfs/33_Jiaqi He_GPU-Accelerated Flow-Sensitive Pointer Analysis for C C++ Programs.pdf
34,GraphLocator: Graph-guided Causal Reasoning for Issue Localization,"Wei Liu, Chao Peng, Pengfei Gao, Aofan Liu, Wei Zhang, Haiyan Zhao, Zhi Jin","Wei Liu (Peking University); Chao Peng (Tencent, China); Pengfei Gao (ByteDance); Aofan Liu (Peking University); Wei Zhang (Peking University, China); Haiyan Zhao (Peking University, China); Zhi Jin (Peking University, Wuhan University, China)","The issue localization task aims to identify the locations in a software repository that requires modification given a natural language issue description. This task is fundamental yet challenging in automated software engineering due to the semantic gap between issue description and source code implementation. This gap manifests as two mismatches: (1) \emph{symptom–to-cause mismatches}, where descriptions do not explicitly reveal underlying root causes; (2) \emph{one-to-many mismatches}, where a single issue corresponds to multiple interdependent code entities. To address these two mismatches, we propose \emph{GraphLocator}, an LLM-based approach that mitigates symptom–to-cause mismatches through \emph{causal structure discovering} and resolves one-to-many mismatches via \emph{dynamic issue disentangling}. The key artifact of \emph{GraphLocator} is the \emph{causal issue graph} (CIG), in which vertices represent discovered sub-issues along with their associated code entities, and edges encode the causal dependencies between them. The workflow of \emph{GraphLocator} consists of two phases: \emph{symptom vertices locating} and \emph{dynamic CIG discovering}; it first identifies symptom locations on the repository graph, then dynamically expands the CIG by iteratively reasoning over neighboring vertices, discovering new sub-issues and updating causal dependencies. Experiments on three real-world Python and Java datasets demonstrates the effectiveness of \emph{GraphLocator}: (1) Compared with baselines, \emph{GraphLocator} achieves more accurate localization with average improvements of +19.49% in function-level recall and +11.89% in precision with acceptable overhead. (2) \emph{GraphLocator} outperforms baselines on both symptom-to-cause and one-to-many mismatch scenarios, achieving recall improvement of +16.44% and +19.18%, precision improvement of +7.78% and +13.23%, respectively. (3) The disentangled causal structure CIG generated by \emph{GraphLocator} yields the highest relative improvement, resulting in a 28.74% increase in performance on the downstream issue-resolving task.",pdfs/34_Wei Liu_GraphLocator Graph-guided Causal Reasoning for Issue Localization.pdf（arXiv 预印本）
35,GraphQLify: Automated and Type Safety-Preserving GraphQL API Adoption,"Saleh Amareen, Arif Rahman, Sazzadur Rahaman, Amiangshu Bosu","Saleh Amareen (Wayne State University); Arif Rahman (Wayne State University); Sazzadur Rahaman (University of Arizona, Tucson, Arizona, USA); Amiangshu Bosu (Wayne State University)","This paper introduces GraphQLify, an automated framework for facilitating the migration of existing APIs to GraphQL. While prior works in this area targeted relational databases, resource description frameworks (RDF), or machine-parsable API specifications, GraphQLify takes a new approach by leveraging static source code analysis for type inference. This approach helps generate GraphQL schemas, maintaining end-to-end type safety, a key premise of using GraphQL over REST. Since the separate GraphQL servers generated by existing techniques work as adapters to existing APIs, they incur performance overhead due to dynamic request binding and network latency. On the other hand, \textit{GraphQLify} generates an embedded server to directly invoke existing API code, and therefore provides better performance. During our evaluation with 834 APIs from nine popular OSS projects, GraphQLify successfully converted all while matching the types from the original APIs. While OASGraph, the current state-of-the-art, had 3.5% failure rates and 42% type mismatches in our evaluation, both numbers are at 0% for GraphQLify. Finally, our evaluation suggests that for application workflows requiring five sequential API calls, clients can reduce data fetching time by a factor of 2 to 4 by using the GraphQLify-generated APIs over REST counterparts.",pdfs/35_Saleh Amareen_GraphQLify Automated and Type Safety-Preserving GraphQL API Adoption.pdf
36,GREClue: Failure Indexing with Graph-based Failure Representation and Entropy-based Deep Clustering,"Zhenyu Yang, Zhongxing Yu","Zhenyu Yang (Shandong University); Zhongxing Yu (Shandong University, China)","Failure indexing aims to group multiple failures according to their root causes and is an essential step in parallel debugging. Failure indexing consists mainly of two steps: failure representation and failure clustering. While many research efforts have been devoted to these two steps, serious issues still exist. For failure representation, existing works use coverage or program memory information, which unfortunately can not capture deep failure semantic. For failure clustering, advanced failure indexing methods use clustering algorithms with preset cluster centers, but this kind of clustering algorithm can handle spherical clusters well but performs poorly when handling clusters of other shapes. To address these issues, this paper proposes GREClue, a novel failure indexing approach with Graph-based failure Representation and Entropy-based deep Clustering. GREClue overcomes the issues in order. For failure representation, GREClue designs the failure semantic graph (FSG), a new graph representation that effectively contains semantic information and runtime information of failures. Based on FSG, GREClue further consists of an entropy-based deep clustering component, which can accurately cluster failed tests without presetting cluster centers. An extensive evaluation of GREClue shows that compared to the state-of-the-art failure indexing method, GREClue improves both the performance of estimating the number of faults and the clustering effectiveness by 10% to 41%. Moreover, it has also been shown that GREClue can effectively facilitate parallel debugging.",pdfs/36_Zhenyu Yang_GREClue Failure Indexing with Graph-based Failure Representation and Entropy-bas.pdf
37,GUIMigrator: Semantics-Preserving Transpilation from Android XML to Compose and SwiftUI,"Yi Gao, Xing Hu, Xiaohu Yang, Xin Xia","Yi Gao (Zhejiang University); Xing Hu (Zhejiang University, China); Xiaohu Yang (Zhejiang University, China); Xin Xia (Zhejiang University, China)","Constructing user interfaces (UIs) is one of the most resource-intensive tasks in mobile development, often consuming more than half of overall effort. Although declarative frameworks such as Jetpack Compose (Android) and SwiftUI (iOS) have become mainstream, the majority of existing Android apps still rely on legacy XML-based layouts. Migrating these UIs to declarative paradigms is essential for maintainability and cross-platform reuse, but manual migration is costly, error-prone, and difficult to scale. We present GUIMigrator, a semantics-preserving framework that automates the migration of Android XML-based UIs to Jetpack Compose and SwiftUI. We design the Semantic UI Transpiler, which abstracts layout structures and resource semantics from legacy XML and systematically re-expresses them using the component abstractions and idioms of modern declarative frameworks. This design ensures that migrated UIs preserve both visual fidelity and functional equivalence, while generating idiomatic, compilable code that maintains cross-platform consistency with minimal manual intervention. By separating semantic interpretation from platform-specific realization, GUIMigrator provides a deterministic yet extensible basis for cross-platform modernization, avoiding the unpredictability of purely generative approaches. We evaluate GUIMigrator on 31 open-source applications across ten domains. Results show that GUIMigrator achieves high migration completeness and visual similarity (Compose average 82%, SwiftUI 78%), outperforms a GPT-4 baseline in structural fidelity, and reduces manual development effort by over 90%. These findings demonstrate that GUIMigrator provides an effective and practical solution for reusing Android UIs across modern declarative frameworks, advancing automated cross-platform UI development.",pdfs/37_Yi Gao_GUIMigrator Semantics-Preserving Transpilation from Android XML to Compose and S.pdf
38,"Hallucinations in LLM-based Code Summarization: Unveiling, Detection, and Mitigation","Guanghua Wan, Yuanning Feng, Yao Wan, Zhaoyang Chu, Zhangqian Bi, Junxiao Han, Zhou Zhao, Hongyu Zhang, Pingpeng Yuan, Xuanhua Shi, Hai Jin","Guanghua Wan (Huazhong University of Science and Technology); Yuanning Feng (Huazhong University of Science and Technology); Yao Wan (Huazhong University of Science and Technology, China); Zhaoyang Chu (University College London (UCL), United Kingdom); Zhangqian Bi (Huazhong University of Science and Technology); Junxiao Han (Hangzhou City University, China); Zhou Zhao (Zhejiang University); Hongyu Zhang (Chongqing University, China); Pingpeng Yuan (Huazhong University of Science and Technology); Xuanhua Shi (Huazhong University of Science and Technology); Hai Jin (Huazhong University of Science and Technology, China)","Code summarization plays a vital role in program comprehension and software maintenance by generating natural language descriptions to summarize the semantics of code. While Large Language Models (LLMs) have shown remarkable performance in this area, recent empirical studies reveal a critical limitation: LLMs are prone to hallucinations, producing summaries that are factually inaccurate or unfaithful to the source code, potentially misleading developers. In this paper, we propose to unveil, detect, and mitigate hallucinations in LLM-based code summarization. First, we construct Hallu-Eval, a novel dataset for unveiling hallucination phenomena and rigorously evaluating the effectiveness of hallucination detection and mitigation in LLM-based code summarization. It comprises both original code snippets to capture naturally occurring hallucinations and their semantically perturbed counterparts, which are designed to systematically induce challenging logical hallucinations, all complemented with manual hallucination annotations. Next, we propose Hallu-Det, a synergistic approach that combines direct entity-level detection to identify explicit hallucinations with a synonymous mutation-based refinement to reliably confirm or refute more ambiguous cases. Finally, we introduce Hallu-Shield, an inference-time mitigation approach that leverages an external value model to guide LLMs toward producing more faithful summaries—without costly retraining of the LLM itself. Extensive experiments show that Hallu-Eval effectively triggers hallucinations, increasing the hallucination rate of models such as Qwen2.5-Coder-7B from 17% to 97% on perturbed code. Our detection approach, Hallu-Det, achieves the best performance among baselines, reaching an F1-score of 0.95 for summaries generated by Qwen2.5-Coder-7B. Moreover, our mitigation method, Hallu-Shield, reduces hallucination rates—for example, from 66% to 59%, a 10.6% relative reduction, on DeepSeek-Coder-6.7B—while simultaneously improving summary quality, achieving a 71.5% win rate in a side-by-side evaluation using an LLM as a judge.","pdfs/38_Guanghua Wan_Hallucinations in LLM-based Code Summarization Unveiling, Detection, and Mitigat.pdf"
39,How Do Developers Interact with AI? An Exploratory Study on Modeling Developer Programming Behavior,"Yinan Wu, Ze Shi (Zane) Li, Kathryn Stolee, Bowen Xu","Yinan Wu (North Carolina State University, United States); Ze Shi (Zane) Li (University of Oklahoma, United States); Kathryn Stolee (North Carolina State University, United States); Bowen Xu (North Carolina State University, United States)","Artificial Intelligence (AI) is reshaping how developers adopt software engineering practices, yet the multi-dimensional nature of developer-AI interaction remains under-explored. Prior studies have primarily examined dimensions observable from developer activities such as “Prompt Crafting” and “Code Editing,” overlooking how hidden intentions and emotional dimensions intertwine with concrete actions during AI-assisted programming. Understanding the interplay is essential for improving developer experience and future AI assistant designs. To understand this phenomenon, we conducted a mixed-methods study with 76 developers. We first split developers into AI-assisted and non-AI groups. Each performed a programming task (either Python with API management or Java with SQL). Developers retrospectively labeled their self-reported intentions, tool-supported actions, and emotions (on a 7-point valence scale) from screen recordings, supplemented by participant surveys and interviews. Our user study resulted in a novel model, named S-IASE, with four dimensions to describe programming behavior for a given development state: intention, action, supporting tool, and emotion. Our analysis reveals several aggregated and sequential behavioral patterns. For example, for aggregated patterns, using AI assistants often led developers to focus more on actively “creating” code, evaluating, and verifying the generated results; for sequential patterns, AI-assisted participants showed emotionally stable development flows, as opposed to non-AI-assisted participants who experienced more fluctuating emotions. Interviews revealed further nuance: some developers reported impostor-like feelings, expressing guilt or self-doubt about relying on AI for programming. The uncovered patterns indicate that our model can provide actionable insights for improving AI assistants’ responsiveness, training developers in AI collaboration, and designing developer-centric AI studies. Our work bridges an important gap in understanding the complexities of developer-AI interaction in the programming context and sheds light on future developer-centric research directions.",pdfs/39_Yinan Wu_How Do Developers Interact with AI An Exploratory Study on Modeling Developer Pr.pdf
40,How Low Can You Go? The Data-Light SE Challenge,"Kishan Kumar Ganguly, Tim Menzies","Kishan Kumar Ganguly (NC State); Tim Menzies (North Carolina State University, United States)","Much of software engineering (SE) research assumes that progress depends on massive datasets and CPU-intensive optimizers. Yet has this assumption been rigorously tested? The counter-evidence presented in this paper suggests otherwise. For over 100 optimization tasks from recent SE papers (including software configuration, performance tuning, product line engineering, project health forecasting, defect prediction, software testing, software process and cost estimation, and cross-domain generalization datasets), even with just a few dozen labels, very simple methods (e.g., diversity sampling, a minimal Bayesian learner, its distance-based non-parametric variant, or random probes) achieve over 90% of the best reported results. Furthermore, these simple methods perform just as well as more complex state-of-the-art optimizers like SMAC, TPE, DEHB, etc. While some tasks would require better outcomes and more sampling, these results seen after a few dozen samples would suffice for many engineering needs (particularly when the goal is rapid and cost-efficient guidance rather than slow and exhaustive optimization). To say that another way, at least some SE tasks are better served by lightweight approaches that demand fewer labels and far less computation. We hence propose the data-light challenge: when will a handful of labels suffice for SE tasks? To enable a large-scale investigation of this issue, we contribute (1) a mathematical formalization of labeling, (2) lightweight baseline algorithms, and (3) results on public-domain data showing the conditions under which lightweight methods excel or fail. For the purposes of open science, our scripts and data are online at https://github.com/KKGanguly/NEO.",pdfs/40_Kishan Kumar Ganguly_How Low Can You Go The Data-Light SE Challenge.pdf
41,iCoRe: An Iterative Correlation-Aware Retriever for Bug Reproduction Test Generation,"Junyi Wang, Jialun Cao, Zhongxin Liu","JunyiWang (Zhejiang University); Jialun Cao (Hong Kong University of Science and Technology, China); Zhongxin Liu (Zhejiang University, China)","Automatically generating bug reproduction tests (BRT) from issue descriptions is crucial for facilitating software maintenance. Large Language Model (LLM)-based approaches have shown great potential for this task. Their effectiveness heavily relies on retrieving high-quality context from the codebase. The retrieval phase of existing approaches relies on either traditional methods like BM25 or modern LLM-driven strategies. The LLM-based retrieval strategies typically involve equipping an LLM with tools to autonomously explore the code repository or having it select the most relevant files and code snippets from a provided list as context. However, these retrieval methods suffer from three key limitations: (1) They often employ a unified strategy for retrieving both source code and test cases, overlooking their distinct retrieval requirements. (2) They focus solely on semantic similarity, ignoring function call relationships that reflect behavioral relevance, which often leads to the retrieval of irrelevant context. (3) The retrieval lacks a feedback loop from the generation phase, preventing it from refining the context based on execution results. These limitations collectively result in low-quality context, thereby hindering the accuracy of bug reproduction. To address these challenges, we propose iCoRe, an iterative, correlation-aware context retrieval approach. iCoRe is explicitly designed to be aware of three key correlations: 1) the correlation between source code and test cases, which requires differentiated retrieval, 2) the correlation between textual semantics and function call structures for accurate relevance assessment, and 3) the correlation between the retrieval and generation phases, which enables iterative feedback and refinement. To evaluate iCoRe, we integrate it with an LLM-based BRT generator and conduct a comprehensive evaluation on the SWT-bench Lite benchmark. Experimental results show that our method achieves a Fail-to-Pass rate of 42.0%, representing a significant 31.7% relative improvement over existing retrieval methods.",pdfs/41_Junyi Wang_iCoRe An Iterative Correlation-Aware Retriever for Bug Reproduction Test Generat.pdf
42,Improving Data Leakage Detection in Machine Learning Notebooks through Static Slicing and Structured LLM Prompts,"Taha Draoui, Mohamed Wiem Mkaouer, Christian D. Newman","Taha Draoui (University of Michigan-Flint); Mohamed Wiem Mkaouer (University of Michigan-Flint, United States); Christian D. Newman (Rochester Institute of Technology)","Data leakage remains a critical yet under-diagnosed issue in machine learning pipelines, leading to inflated results and unreliable deployments. Existing detection approaches rely on static rules that often miss open-coded manipulations and fail to capture the diversity of real-world notebooks. This paper introduces a novel methodology that integrates static slicing with large language models (LLMs) to improve leakage detection. We use a Datalog-based static analysis that isolates compact, provenance-aware slices corresponding to model training and evaluation pairs, and we pair these with structured LLM prompts that guide step-by-step reasoning about potential leakage for each isolated slice. Evaluated on a curated benchmark of Python notebooks from Kaggle and GitHub, our approach achieves state-of-the-art performance in both preprocessing and overlap leakage detection, substantially outperforming end-to-end prompting and the rule-based baseline. Our findings highlight the effectiveness of combining program slicing and prompt engineering for data leakage detection and establish the first systematic LLM-based solution for detecting data leakage in machine learning code.",pdfs/42_Taha Draoui_Improving Data Leakage Detection in Machine Learning Notebooks through Static Sl.pdf
43,In Bugs We Trust? On Measuring the Randomness of a Fuzzer Benchmarking Outcome,"Ardi Madadi, Seongmin Lee, Cornelius Aschermann, Marcel Böhme","Ardi Madadi (Max Planck Institute for Security and Privacy, Germany); Seongmin Lee (UCLA, United States); Cornelius Aschermann (Ruhr-University Bochum); Marcel Böhme (MPI for Security and Privacy, Germany)","In Google’s FuzzBench platform, we find that the outcome of coverage-based evaluation more strongly agrees with the outcome of a bug-based evaluation than an independent bug-based evaluation itself. Recently, Böhme et al. found that despite a very strong correlation between coverage achieved and bugs found, there is no strong agreement between the outcome of a coverage- and a bug-based evaluation: The fuzzer best at achieving coverage may be the worst at finding bugs. However, in trying to explain this moderate agreement, we wondered whether the outcome of bug-based benchmarking itself is perhaps much more “noisy” and turned to applied statistics to develop the tools necessary to investigate our hypothesis. In this paper, we call this degree of “noisyness” of a benchmarking outcome as the \emph{concordance} of the benchmarking procedure and quantify it using a measure of statistical reliability widely-used in psychology, called \emph{mean split-half reliability}, i.e., the expected agreement on benchmark outcome between two random halfs of the benchmark set. In our experiments with FuzzBench and Magma, we find that the concordance of coverage-based benchmarking is consistently strong while that of bug-based benchmarking is weak on FuzzBench and moderate on Magma. In contrast to FuzzBench, for the Magma benchmark set, which was designed for bug-based evaluation, a coverage-based evaluation does \emph{not} predict the outcome of a bug-based evaluation better than an independent bug-based evaluation. We investigate concordance as a measure of benchmarking efficiency, as in green fuzzer benchmarking. We empirically confirm, the resources of a procedure with higher concordance can be reduced more substantially (in terms of campaign length or benchmark set size) while maintaining a similar benchmark outcome than a procedure with lower concordance. We report the corresonding savings in terms of carbon emissions.",pdfs/43_Ardi Madadi_In Bugs We Trust On Measuring the Randomness of a Fuzzer Benchmarking Outcome.pdf
44,InDe-LLM: Defending Against Jailbreak Attacks in LLM-Powered Systems via Intention Disentangling,"Yujue Wang, Quan Zhang, Chijin Zhou, Gwihwan Go, Dalong Shi, Yu Jiang","YujueWang (Tsinghua University); Quan Zhang (East China Normal University, China); Chijin Zhou (East China Normal University, China); Gwihwan Go (Tsinghua University); Dalong Shi (AVIC International Digital Network Technology Co., Ltd.); Yu Jiang (Tsinghua University, China)","Jailbreak attacks have been regarded as a crucial threat to LLM-powered software systems. Recent studies indicate the existence of a steering vector within models’ internal activations, which can adjust a model’s propensity to reject user requests, and thus is regarded as an effective approach for training-free defense. However, attackers may wrap their malicious intentions within a seemingly benign context, which shifts the distribution of harmful prompts toward benign inputs along the steering vector, effectively bypassing existing defense approaches. In this work, we propose a defense framework InDe-LLM based on intention disentangling. By projecting the embedding of inputs into a benign-invariant subspace, we could disentangle the harmful intentions of jailbreak prompts without affecting benign inputs. Next, such disentangled harmful intentions can be easily identified based on LLMs’ well-aligned concept of harmfulness, and rejected through activation steering. Our experiments show that InDe-LLM achieves high defense effectiveness, outperforming baselines by 27.2%–43.5% across three models and ten attacks while preserving high utility on benign inputs. Moreover, our evaluation demonstrates that it exhibits high transferability to unseen attacks.",pdfs/44_Yujue Wang_InDe-LLM Defending Against Jailbreak Attacks in LLM-Powered Systems via Intentio.pdf
